"Title:","Vehicles in Fatal Crashes, by Vehicle Make / Model Year from the Fatal Traffic Accidents: Vehicles Involved Database"
"SubTitle:","State - Type: Automobiles - Make: All Makes - Model: All Models - Vehicle Year: All Vehicle Years"
"Time:","01/1975 - 12/2020"
"Unit of Measure:","#","#","#","#","#","#"
"Citation:","National Highway Traffic Safety Administration (2022-05-06). Fatal Traffic Accidents: Vehicles Involved: Vehicles in Fatal Crashes, by Vehicle Make / Model Year | Connecticut, Massachusetts, New York, Pennsylvania, Rhode Island, Vermont | Automobiles | All Makes | All Models | All Vehicle Years, 01/1975 - 12/2020. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  023-004-006 doi:https://doi.org/10.6068/DP18466EA930787"
"ColumnCount:",7
"RowCount:",552

"Time","Connecticut, Automobiles, All Makes, All Models, All Vehicle Years, #","Massachusetts, Automobiles, All Makes, All Models, All Vehicle Years, #","New York, Automobiles, All Makes, All Models, All Vehicle Years, #","Pennsylvania, Automobiles, All Makes, All Models, All Vehicle Years, #","Rhode Island, Automobiles, All Makes, All Models, All Vehicle Years, #","Vermont, Automobiles, All Makes, All Models, All Vehicle Years, #"
"04/2004",9,23,68,85,5,3
"05/2004",19,29,81,82,6,5
"06/2004",17,28,80,67,10,7
"07/2004",17,27,108,99,4,6
"08/2004",15,23,87,91,1,7
"09/2004",14,18,94,76,3,2
"10/2004",24,31,79,109,12,8
"11/2004",24,31,83,87,5,6
"12/2004",11,21,94,98,3,4
"01/2005",16,15,78,85,8,3
"02/2005",18,17,75,83,1,2
"03/2005",10,22,67,79,3,2
"04/2005",18,32,63,105,10,4
"05/2005",11,27,57,89,8,3
"06/2005",9,25,85,91,4,8
"07/2005",31,24,104,78,7,2
"08/2005",12,27,95,80,5,6
"09/2005",24,30,82,100,5,2
"10/2005",23,23,70,124,3,5
"11/2005",21,42,73,70,4,9
"12/2005",20,23,87,82,9,7
"01/2006",14,27,82,83,2,4
"02/2006",21,16,62,94,3,2
"03/2006",20,32,47,59,8,4
"04/2006",31,21,67,54,7,4
"05/2006",19,24,74,68,4,9
"06/2006",15,16,75,83,3,6
"07/2006",19,23,77,87,6,5
"08/2006",20,26,83,94,7,2
"09/2006",16,30,66,80,3,4
"10/2006",28,30,97,78,3,3
"11/2006",6,23,82,74,2,2
"12/2006",10,35,72,94,9,2
"01/2007",21,31,53,99,3,5
"02/2007",25,23,64,75,7,2
"03/2007",11,18,71,68,8,3
"04/2007",20,25,58,79,4,5
"05/2007",9,31,61,79,,2
"06/2007",8,13,81,92,5,2
"07/2007",17,26,81,88,4,5
"08/2007",20,16,92,73,4,4
"09/2007",19,12,69,74,2,1
"10/2007",25,28,95,92,5,1
"11/2007",17,32,72,76,2,4
"12/2007",20,17,59,86,1,1
"01/2008",14,19,66,69,4,4
"02/2008",9,23,85,67,2,3
"03/2008",19,13,55,80,7,2
"04/2008",11,12,67,59,4,4
"05/2008",17,20,70,66,4,4
"06/2008",15,15,56,75,1,9
"07/2008",23,19,75,88,2,3
"08/2008",26,28,73,76,6,3
"09/2008",18,26,58,68,5,3
"10/2008",19,24,79,66,6,4
"11/2008",15,15,69,90,4,3
"12/2008",15,18,61,74,1,2
"01/2009",8,14,39,58,1,1
"02/2009",9,9,46,66,3,1
"03/2009",8,19,52,40,4,2
"04/2009",10,25,60,67,7,3
"05/2009",11,23,64,76,1,7
"06/2009",15,19,56,62,6,10
"07/2009",9,23,57,66,6,2
"08/2009",11,26,80,87,5,5
"09/2009",14,16,63,63,6,5
"10/2009",15,20,65,65,3,3
"11/2009",21,12,58,63,1,2
"12/2009",11,16,57,62,9,5
"01/2010",28,18,69,49,4,4
"02/2010",7,9,36,43,1,1
"03/2010",15,22,56,52,5,3
"04/2010",19,9,58,60,4,2
"05/2010",19,15,50,80,2,4
"06/2010",24,10,59,58,3,4
"07/2010",14,17,64,70,1,1
"08/2010",19,23,59,74,6,4
"09/2010",15,14,79,58,5,4
"10/2010",19,27,60,70,5,5
"11/2010",12,19,83,56,1,4
"12/2010",22,27,55,84,4,5
"01/2011",12,18,58,57,2,3
"02/2011",6,12,39,50,4,2
"03/2011",9,22,38,59,6,2
"04/2011",13,27,56,52,1,1
"05/2011",18,21,25,60,4,
"06/2011",16,28,69,56,3,2
"07/2011",10,13,84,76,5,5
"08/2011",13,31,50,52,3,3
"09/2011",7,13,53,76,4,3
"10/2011",12,19,65,86,7,5
"11/2011",16,22,67,76,5,2
"12/2011",16,23,75,65,3,2
"01/2012",10,25,61,54,1,7
"02/2012",21,17,56,56,5,5
"03/2012",10,12,51,67,4,1
"04/2012",18,25,52,51,3,2
"05/2012",13,22,55,74,4,6
"06/2012",6,24,64,67,3,3
"07/2012",22,24,58,62,4,4
"08/2012",15,14,64,64,3,3
"09/2012",13,20,67,62,2,4
"10/2012",20,22,50,76,,2
"11/2012",27,23,61,81,1,4
"12/2012",25,29,77,63,8,3
"01/2013",10,17,64,61,1,3
"02/2013",10,15,49,51,2,2
"03/2013",16,11,49,55,2,1
"04/2013",15,12,48,46,1,4
"05/2013",19,13,47,68,6,5
"06/2013",16,20,72,56,3,7
"07/2013",13,18,67,60,6,3
"08/2013",28,21,60,69,3,1
"09/2013",22,29,77,66,2,2
"10/2013",17,23,69,76,5,2
"11/2013",19,28,50,55,5,4
"12/2013",16,23,67,76,7,5
"01/2014",16,20,53,53,1,4
"02/2014",10,12,29,46,2,2
"03/2014",13,18,33,68,,1
"04/2014",9,13,59,48,4,
"05/2014",15,25,61,60,3,
"06/2014",13,22,53,61,2,4
"07/2014",15,27,55,53,2,5
"08/2014",19,21,66,74,,2
"09/2014",13,11,50,45,4,
"10/2014",21,22,50,79,3,2
"11/2014",13,29,60,72,6,3
"12/2014",11,19,50,73,6,2
"01/2015",15,15,64,55,2,3
"02/2015",14,11,26,47,,
"03/2015",17,14,36,42,4,
"04/2015",13,19,46,48,3,2
"05/2015",18,24,70,57,3,1
"06/2015",8,23,42,47,1,3
"07/2015",12,17,61,61,2,5
"08/2015",13,18,62,61,2,2
"09/2015",19,18,54,56,3,4
"10/2015",16,23,72,72,2,6
"11/2015",20,19,63,72,,2
"12/2015",11,16,68,63,4,1
"01/2016",20,20,37,49,2,1
"02/2016",8,16,34,76,3,1
"03/2016",16,8,46,43,5,5
"04/2016",20,19,32,46,1,4
"05/2016",13,26,56,61,4,1
"06/2016",13,15,63,74,1,1
"07/2016",24,25,43,57,3,4
"08/2016",10,25,48,57,4,2
"09/2016",21,16,62,72,4,4
"10/2016",27,24,56,58,2,1
"11/2016",12,20,44,70,1,4
"12/2016",18,24,54,55,5,2
"01/2017",19,18,51,63,5,2
"02/2017",15,12,41,46,8,3
"03/2017",14,17,39,65,2,2
"04/2017",22,25,53,56,4,2
"05/2017",23,10,52,53,6,4
"06/2017",17,9,47,61,5,2
"07/2017",12,21,50,58,4,3
"08/2017",16,17,54,61,5,3
"09/2017",17,23,57,69,2,3
"10/2017",7,16,40,84,7,3
"11/2017",20,24,53,52,3,7
"12/2017",12,14,49,57,2,2
"01/2018",19,28,33,65,4,1
"02/2018",16,16,53,46,4,3
"03/2018",12,13,33,58,1,1
"04/2018",23,22,34,43,3,4
"05/2018",17,16,37,60,2,4
"06/2018",16,17,54,46,3,8
"07/2018",14,16,47,70,2,6
"08/2018",21,17,42,57,1,2
"09/2018",15,14,55,69,2,2
"10/2018",18,11,37,83,8,1
"11/2018",24,19,55,58,6,3
"12/2018",18,20,51,57,2,8
"01/2019",16,16,38,57,7,2
"02/2019",9,12,42,45,1,
"03/2019",13,18,19,43,2,2
"04/2019",7,17,27,56,2,1
"05/2019",7,14,42,51,1,2
"06/2019",10,17,51,52,4,
"07/2019",10,19,54,56,1,3
"08/2019",25,15,43,39,1,4
"09/2019",16,15,39,51,2,2
"10/2019",11,14,38,66,,5
"11/2019",8,16,34,40,5,3
"12/2019",8,15,50,70,4,5
"01/2020",13,15,46,48,3,1
"02/2020",16,12,52,37,1,1
"03/2020",13,23,24,35,3,2
"04/2020",21,21,29,26,1,2
"05/2020",14,9,34,54,9,1
"06/2020",24,22,46,67,7,6
"07/2020",14,29,56,74,2,7
"08/2020",17,25,54,47,5,3
"09/2020",13,13,75,60,6,3
"10/2020",13,15,56,49,5,3
"11/2020",21,19,41,74,8,2
"12/2020",18,17,43,57,1,2



"Publisher:", "National Highway Traffic Safety Administration"
"Copyright:", "The data contained in Data Planet(tm): A SAGE Publishing Resource is made available via license agreement with subscribing organizations. Your organization's license may vary from this version."
